raw_dream,dreamer,date,processed_dream,polarity,subjectivity,dream_length,tags,symbols,cluster,dominant_topic,pca1,pca2
"Our upstairs neighbor (lover) walks past me to go upstairs. He looks fatter and different. I am so happy. Run upstairs and we go to bed. But downstairs there is a party and many people. Later see him with a girl with lovely legs and small feet, standing on tip toe, with whom he danced and was very much in love.",emma,unknown,our upstairs neighbor lover walks past go upstairs he looks fatter different so happy run upstairs go bed downstairs there party many people later see him girl lovely legs small feet standing tip toe whom he danced very much love,0.225,0.5125,61,"['Anxiety', 'Social']",[],1,1,-0.19490220106498604,0.10627306345533905
"Going upstairs in a long blue velvet veil, a bridal veil, made up of curtains back from the cleaners. I am being teased about getting married in such an outfit. I say, ""Well I'd do it for my second marriage, since I couldn't wear white."" Shift: It is raining. Kids playing in a garden. I see Marita caught in a fierce torrent of a mill stream, am barely able to rescue her.",emma,unknown,going upstairs long blue velvet veil bridal veil made up curtains back from cleaners teased about getting married such outfit say well id do second marriage since couldnt wear white shift raining kids playing garden see marita caught fierce torrent mill stream barely able rescue her,0.0875,0.234375,72,['Uncategorized'],['Nature'],1,1,-0.04748918160638894,0.08173267094880009
"There is war but we are in the Hills in a motel that is 'safe.' I am looking down toward the water and see a bomb land but it does not explode! I see Edward crawl through sewer pipes to figure out scheme to defuse the bombs. Suddenly a brilliant flash. An A-bomb explosion where he set it off. But I am safe with my brother, crouching on a bed of pine needles. Aghast that Edward did that, but not that he is dead. We all celebrate that we are safe. Shift: Edward reappears. I have a feeling of shock and guilty knowledge. Everyone is asking ""Who did it?' Edward is handed a piece of paper with hieroglyphics that are a code for the detonation. He airily pretends that it is just a doodle and that he did not do it.",emma,unknown,there war hills motel safe looking down toward water see bomb land does not explode see edward crawl through sewer pipes figure out scheme defuse bombs suddenly brilliant flash abomb explosion where he set off safe brother crouching bed pine needles aghast edward did not he dead all celebrate safe shift edward reappears feeling shock guilty knowledge everyone asking who did edward handed piece paper hieroglyphics code detonation he airily pretends just doodle he did not do,0.11319444444444446,0.6361111111111111,141,"['Water', 'Death']","['Family', 'Body']",0,1,-0.22842874072368863,0.1273967004933418
"We go exploring the ""gold coast"" that the US has acquired along the ocean front. I go into the water and swim upstream but it is too difficult. Ride in a boat with interesting men. Then on the way back I swim down stream with the current. easy, wonderful feeling! Later see the mountains covered with snow with the sun shining on them. Also see Half Dome and other mountains from Yosemite.",emma,11/3/50,go exploring gold coast us acquired along ocean front go into water swim upstream too difficult ride boat interesting men then way back swim down stream current easy wonderful feeling later see mountains covered snow sun shining also see half dome other mountains from yosemite,0.0986111111111111,0.4563888888888889,72,"['Anxiety', 'Water']",['Nature'],0,1,-0.21203358824053903,0.04649695515113453
"Wild ride in a car along ocean and thru tunnels. At end of a long tunnel the car ends on a stone landing and almost careens into the water. We were able to stop in time! Shift: Sitting in a cafe next to an old windmill which was slowly rotating, the implication being that I should learn from it to slow down.",emma,unknown,wild ride car along ocean thru tunnels end long tunnel car ends stone landing almost careens into water able stop time shift sitting cafe next old windmill which slowly rotating implication should learn from slow down,0.002430555555555547,0.33923611111111107,62,['Water'],"['Animals', 'Vehicles']",1,1,-0.15491771456637232,0.06650891047806765
"With woman analyst in C. City (Amanda Feingold). I forgot my dreams and rush out and take the car to go home to find my dreams; return and ask her which dream first? She then uses an elaborate ritual with incantations, playing cards, silken threads to decide which dream to select. Finally she puts one pile on the right over the thread, and another on the table to her left. But in the end she wants me to decide which one to read. I say I know the content by the shape of the paper. Shift: Pick up a toy bear and find it comes apart into shining silk threads.",emma,unknown,woman analyst c city amanda feingold forgot dreams rush out take car go home find dreams return ask her which dream first she then uses elaborate ritual incantations playing cards silken threads decide which dream select finally she puts one pile right over thread another table her left end she wants decide which one read say know content by shape paper shift pick up toy bear find comes apart into shining silk threads,0.20595238095238091,0.4948412698412698,110,['Anxiety'],['Vehicles'],4,1,0.14576520148232416,0.22560031656299803
"Riding on a train with Edward, along the ocean, many bays and much snow. Danger and shooting. We go out and have to walk in deep snow and mud. Feeling of fear and uneasiness. Shift: I am driving in an open car to California. I get out on top of a hill. Need no coat or boots. Free feeling--sense warm air around my face and arms. Very very happy. Shift: With S. L. (musician, new acquaintance). He is explaining an obscure discrepancy of melody in a Beethoven piece. We get into bed although I protest a bit. I am cleaning away some leftover peas and carrots (green and orange); feeling of anticipation and some guilt.",emma,12/15/50,riding train edward along ocean many bays much snow danger shooting go out walk deep snow mud feeling fear uneasiness shift driving open car california get out top hill need no coat or boots free feelingsense warm air around face arms very very happy shift s l musician new acquaintance he explaining obscure discrepancy melody beethoven piece get into bed although protest bit cleaning away some leftover peas carrots green orange feeling anticipation some guilt,0.3136363636363636,0.5254545454545454,115,"['Anxiety', 'Fear/Chase', 'Water']","['Vehicles', 'Body']",1,1,-0.19422438611659282,0.11262411424097775
"Atomic explosion in C. City (where I see my analyst). There is not too much panic since city has a 'life belt' surrounding it; but I am determined to leave for California and look around for a second hand car. Pick out eight old jalopies and make out checks for all of them! But as I wave my bundle of checks at the old man selling the cars, I realize how foolish it is to buy all this junk. Finally, I buy a new car and take off with Marita to California. When I arrive there is a convention and it is warm. I am so happy feeling the air and no coat.",emma,12/50,atomic explosion c city where see analyst there not too much panic since city life belt surrounding determined leave california look around second hand car pick out eight old jalopies make out checks all as wave bundle checks old man selling cars realize how foolish buy all this junk finally buy new car take off marita california when arrive there convention warm so happy feeling air no coat,0.24517045454545455,0.45681818181818185,113,['Uncategorized'],"['Vehicles', 'Body']",1,1,-0.15381343607880787,0.007510142630487405
"L.Z. (analyst). We are at a big wild party and I see L.Z. dressed as a fisherman. Large slouch hat, red/black striped t-shirt. He is standing at the counter. Then we kiss and he holds me very close. Later talk with him in the corridor. He compliments me: ""You have beautiful hair."" And I say, ""You don't look so bad yourself. Better than in the office.""",emma,12/50,lz analyst big wild party see lz dressed as fisherman large slouch hat redblack striped tshirt he standing counter then kiss he holds very close later talk him corridor he compliments you beautiful hair say you dont look so bad yourself better than office,0.14553571428571432,0.4244047619047619,66,"['Anxiety', 'Social']","['Animals', 'Body']",1,1,-0.18210564833981815,0.17592153712403252
"I have a faint recollection of a dream I had last night. I dreamt that I was at school with my mother, and her and I were up at this little mixing room type of a thing, up above on the third floor of the main building. But it was really supposed to be a computer lab. Anyway, sorry about that saw in the background. Anyway, my mother and I were in this room, and she bent something like a computer that makes it really stand out, and she has to get help from Larry. I think this is how it went. It was so complicated, I can't even remember it. But anyway, she makes the computer stand out, and Larry comes up and is criticizing me because I don't ever work with him on anything, and isn't going to help us now. Matter of fact, he threatens to activate the alarm system. And then I think somebody was riding around outside in a little golf cart thing like the administrators do, and for some reason or other we had to get out of there quick because he did something else with the computer that was going to start this virus thing going around the school. And so we got on this golf cart and we just drive, and I didn't recognize, and we went downstairs via the elevator into the library. Then we were talking with the librarian and she said that I had this problem with rocking back and forth, which I don't, but that the problem was common with blind people, but I don't have it. And the librarian said that I had a problem with rocking back and forth and that we needed to work on that.",jasmine1,1999,faint recollection dream last night dreamt school mother her up this little mixing room type thing up above third floor main building really supposed computer lab anyway sorry about saw background anyway mother this room she bent something like computer makes really stand out she get help from larry think this how went so complicated cant even remember anyway she makes computer stand out larry comes up criticizing because dont ever work him anything isnt going help us now matter fact he threatens activate alarm system then think somebody riding around outside little golf cart thing like administrators do some reason or other get out there quick because he did something else computer going start this virus thing going around school so got this golf cart just drive didnt recognize went downstairs via elevator into library then talking librarian she said this problem rocking back forth which dont problem common blind people dont librarian said problem rocking back forth needed work,-0.10555555555555557,0.38842592592592595,291,['Social'],"['Animals', 'Family', 'Vehicles']",4,1,0.25983048540265463,-0.09046612286075377
"And just last night I had a dream that my mother was filling up the gas tank of our red and white '55 red Chevy, and the ringer was down and she leaned in and said, ""Go on home. I'll meet you at home."" So the ignition started up by itself and I floored the accelerator and I started going 60 and 70 miles an hour on a regular city street, and before I knew it, I was going 90 or 100 and I suddenly screeched on the brake and I spun around and spun around and spun around, and I'm like, ""Oh no, am I crashing?"" And I woke up.",jasmine1,1999,just last night dream mother filling up gas tank our red white 55 red chevy ringer down she leaned said go home ill meet you home so ignition started up by itself floored accelerator started going 60 70 miles hour regular city street before knew going 90 or 100 suddenly screeched brake spun around spun around spun around im like oh no crashing woke up,-0.022222222222222223,0.1332112332112332,111,['Uncategorized'],"['Family', 'Nature']",2,1,0.08691346853141575,-0.033408881267964596
"I really don't think this dream was all that noteworthy, but maybe it is to somebody. I dreamt that I was going to stay overnight in a fireman's house up in the north part of the state, and that I was packing my bed and stuff and getting in a tiny little car and going. When I got there, there were three other girls, and they had a swimming pool, but the house was real tiny, and it was a two-story house. It was kind of like I was living in this -- you know how movies are kind of gray sometimes? Well, everything looked gray. And I got there and there were three colors (?) by the front door, and a little scary thing in the back, and those things scared me a little. And I was talking to these girls, and they said that when you went to sleep, you would see ghosts and yellow things and I can't remember exactly; let me think. You would see ghost girls in yellow dresses singing a song. And sure enough, I did. And I wanted to get home because I forgot my bag of clothes and I forgot my lunch box at home. So the next morning they took me home again, and it was a Wednesday morning, and all of a sudden I had to be ready for school.",jasmine1,1999,really dont think this dream all noteworthy maybe somebody dreamt going stay overnight firemans house up north part state packing bed stuff getting tiny little car going when got there there three other girls swimming pool house real tiny twostory house kind like living this you know how movies kind gray sometimes well everything looked gray got there there three colors by front door little scary thing back those things scared little talking these girls said when you went sleep you would see ghosts yellow things cant remember exactly let think you would see ghost girls yellow dresses singing song sure enough did wanted get home because forgot bag clothes forgot lunch box home so next morning took home again wednesday morning all sudden ready school,0.061184210526315785,0.4612573099415205,230,"['Anxiety', 'Water', 'Social']",['Vehicles'],3,1,0.07277416000070845,-0.1806849118799704
"I dreamt that I bought a house for $15,000 for my father for his birthday. This house had like a pool and a deck and little waterfall things and decks leading into a main house that was just like ours. And we were in the bedroom with some people, I guess they were the former owners. We were talking and eating. They were showing me this thing, the size of five decks of cards that was supposed to be a CD player, and it was like covered with cloth. And we were supposed to be able to play CD's on it and we would hear it without having to connect it to anything. So we were getting ready to play it, and I guess that this unit here was also supposed to be a CD player, and it was a little smaller, and then we talked about, we were getting ready to make, we were getting ready to have my father's birthday party in there. But he really liked the house; I was surprised. I didn't think he was going to like the house.",jasmine1,1999,dreamt bought house 15000 father his birthday this house like pool deck little waterfall things decks leading into main house just like ours bedroom some people guess former owners talking eating showing this thing size five decks cards supposed cd player like covered cloth supposed able play cds would hear without having connect anything so getting ready play guess this unit here also supposed cd player little smaller then talked about getting ready make getting ready fathers birthday party there he really liked house surprised didnt think he going like house,0.1446969696969697,0.5143939393939394,184,"['Water', 'Social']","['Family', 'Vehicles']",3,1,-0.0007371831131217229,-0.14887240241969893
"Last night I had a dream that there was a rumor that somebody had killed a teacher up on the third floor of the Media Building, and some boys, who were the suspects, were riding the elevator and kind of playing on it for like two hours. And all of a sudden the elevator started making these funny sounds that it had never made before, and I thought, ""Oh boy, the elevator's getting mad."" And then I went down to the courtyard in front of the Media Center, and I smelled this toxic chemical, and a boy said that it would make us realize our knowledge of acoustics. And I woke up.",jasmine1,1999,last night dream there rumor somebody killed teacher up third floor media building some boys who suspects riding elevator kind playing like two hours all sudden elevator started making these funny sounds never made before thought oh boy elevators getting mad then went down courtyard front media center smelled this toxic chemical boy said would make us realize our knowledge acoustics woke up,-0.025617283950617294,0.4283950617283951,112,['Uncategorized'],[],2,1,0.03213166633819759,-0.208069477847092
"Last night I had a dream that my mother and I were cleaning upstairs in our rooms, and that we had an agreement that the first half hour she would put her boom box on and be the DJ, and the second half hour I would put my boom box on and be the DJ. But during her half hour I closed my door, and I wanted so bad to investigate this doll. It was supposed to be this like really super Gidget Gadget paper game. And she was just like a Christmas angel, only she didn't have wings and she didn't move, and stood on a base. And she was a singing doll and she had a volume knob on her base. And somehow I turned it up and I couldn't turn it down, and I was trying to work her gidgets and gadgets, and I couldn't really, I was just, my hands were like stiff as stone. And then all of a sudden I was juxtaposed out into like a rural farm area and I saw these three chickens living in small cages, living in absolute filth. And we bought them just so that we could set them free, and then I woke up.",jasmine1,1999,last night dream mother cleaning upstairs our rooms agreement first half hour she would put her boom box dj second half hour would put boom box dj during her half hour closed door wanted so bad investigate this doll supposed this like really super gidget gadget paper game she just like christmas angel only she didnt wings she didnt move stood base she singing doll she volume knob her base somehow turned up couldnt turn down trying work her gidgets gadgets couldnt really just hands like stiff as stone then all sudden juxtaposed out into like rural farm area saw these three chickens living small cages living absolute filth bought just so could set free then woke up,-0.12078609221466363,0.44391534391534393,206,['Uncategorized'],"['Family', 'Body']",4,1,0.3466658712447902,0.07524454065110651
"I had a dream that I was, that my mother gave me a sheet of ten cities that we were supposed to fly to. And she had an art thing set up in Albertson's, and it was on a plank floor that I could hardly stand on. And my mother and I and Aunt Margaret were supposed to go to these cities, and so we did. We went to the airport, and we were still walking on that same floor that I could hardly stand on, and we were walking like pigeons on top of this security thing instead of __turning?_____, and we stepped in and walked through the things that the bags go and before we knew it, we were on this people mover car thing that was going 60-70 miles an hour. And then I found myself on the steps leading out to the parking circle at school. Then I woke up.",jasmine1,1999-05-24,dream mother gave sheet ten cities supposed fly she art thing set up albertsons plank floor could hardly stand mother aunt margaret supposed go these cities so did went airport still walking same floor could hardly stand walking like pigeons top this security thing instead __turning_____ stepped walked through things bags go before knew this people mover car thing going 6070 miles hour then found myself steps leading out parking circle school then woke up,0.11944444444444442,0.43472222222222223,154,['Social'],"['Family', 'Vehicles']",2,1,0.1322664223136437,-0.11626488136707888
"I had a dream that was worth recording that I can remember in about a week, or maybe even two weeks. Anyway, last night I had a dream. By the way, this is June the first, and I had it about a week ago. I've been lazy and I haven't felt like recording it. But anyway, I had this dream that Elizabeth and a few other people and I wanted, we were in this bank, and she had to cash a check, and we were bored waiting for this lady to finish doing her thing. And we convinced them to give us an elevator key so that we could get on it. We got on it and we said, ""I wonder what's up on the tenth floor?"" So we went up to the tenth floor, and this elevator had a blue interior, and we got out -- or we didn't get out -- it was this very dark, closed-in room with light-up stained glass murals on the walls. One was like a map of the world with red continents, another was like something really abstract. So we decided, ""Nah, let's not stay up here. Let's go down to the below-ground level and see what's down there."" And I thought, ""Oh gosh."" I hung onto the railing in the elevator as we descended, almost like a bullet, we hit bottom, and the door opened, and I was expecting it to be as dark as anything, but it was a banquet, luncheon hall and there were people having their lunch in there. And Andrea stepped out of the elevator and was going to go spy on them. But then I was up last night, and I had a dream that her and I were with some other people, and oh, she came by to say sorry that she hadn't called me any more, and she wanted to go through a box of jump with me. There were like a box of broken eggs and empty cans and there was a ball and things like that. there was this two-channel mixer that apparently I had gotten for Christmas, and I just ditched when the current one came along but it was in the bedroom, and it could play ___?____ and the bedroom one could only play __?__ which was not true in real life. And so I'm constantly switching back and forth between the two, and then we started going through this stuff. And I thought I saw the CD at the bottom of the box; I thought it was the one that I had been wanting, but it wasn't. It was just some blah CD. And then she and her family and I were at the beach and we were diving in this cave, and they were saying, ""Oh, look at this, oh, look at that."" And it was pitch dark, and so I was feeling around and there were these like huge tarantula things swimming in the water and big sharks with scaly fins. And I was running out of air in my breath, so I had to get out. And I had to take my clothes off for some reason, and then run past everybody and ___run_ in the bathroom so that I could put the clothes on. And Mr. P. and everybody saw me as I was running past, and they were just shocked. And when I got in the bathroom, I woke up.",jasmine1,1999-06-01,dream worth recording can remember about week or maybe even two weeks anyway last night dream by way this june first about week ago ive lazy havent felt like recording anyway this dream elizabeth few other people wanted this bank she cash check bored waiting this lady finish doing her thing convinced give us elevator key so could get got said wonder whats up tenth floor so went up tenth floor this elevator blue interior got out or didnt get out this very dark closedin room lightup stained glass murals walls one like map world red continents another like something really abstract so decided nah lets not stay up here lets go down belowground level see whats down there thought oh gosh hung onto railing elevator as descended almost like bullet hit bottom door opened expecting as dark as anything banquet luncheon hall there people having their lunch there andrea stepped out elevator going go spy then up last night dream her some other people oh she came by say sorry she hadnt called any more she wanted go through box jump there like box broken eggs empty cans there ball things like there this twochannel mixer apparently gotten christmas just ditched when current one came along bedroom could play _______ bedroom one could only play ____ which not true real life so im constantly switching back forth between two then started going through this stuff thought saw cd bottom box thought one wanting wasnt just some blah cd then she her family beach diving this cave saying oh look this oh look pitch dark so feeling around there these like huge tarantula things swimming water big sharks scaly fins running out air breath so get out take clothes off some reason then run past everybody ___run_ bathroom so could put clothes mr p everybody saw as running past just shocked when got bathroom woke up,-0.07297385620915033,0.42199346405228766,575,"['Fear/Chase', 'Water', 'Social']",[],3,1,0.245092579003106,-0.22372778815243358
